Team;Result;For;Aga;Diff;Tries;Conv;Pens;Drop;Opposition;Ground;Match.Date
Wales;won;44;20;+24;5;5;3;0;v Italy;Millennium Stadium;2 Mar 2002
Ireland;won;43;22;+21;5;3;4;0;v Scotland;Lansdowne Road;2 Mar 2002
Scotland;lost;22;43;-21;1;1;5;0;v Ireland;Lansdowne Road;2 Mar 2002
Ireland;won;32;17;+15;3;1;5;0;v Italy;Lansdowne Road;23 Mar 2002
Italy;lost;17;32;-15;2;2;0;1;v Ireland;Lansdowne Road;23 Mar 2002
England;won;50;10;+40;5;5;4;1;v Wales;Twickenham;23 Mar 2002
Wales;lost;10;50;-40;1;1;1;0;v England;Twickenham;23 Mar 2002
France;won;22;10;+12;3;2;1;0;v Scotland;Murrayfield;23 Mar 2002
Scotland;lost;10;22;-12;1;1;1;0;v France;Murrayfield;23 Mar 2002
France;won;44;5;+39;5;2;5;0;v Ireland;Stade de France;6 Apr 2002
Ireland;lost;5;44;-39;1;0;0;0;v France;Stade de France;6 Apr 2002
Scotland;won;27;22;+5;2;1;5;0;v Wales;Millennium Stadium;6 Apr 2002
Wales;lost;22;27;-5;1;1;5;0;v Scotland;Millennium Stadium;6 Apr 2002
England;won;45;9;+36;6;6;1;0;v Italy;Rome;7 Apr 2002
Italy;lost;9;45;-36;0;0;3;0;v England;Rome;7 Apr 2002
Italy;won;30;22;+8;3;3;1;2;v Wales;Rome;15 Feb 2003
Wales;lost;22;30;-8;3;2;1;0;v Italy;Rome;15 Feb 2003
England;won;25;17;+8;1;1;5;1;v France;Twickenham;15 Feb 2003
France;lost;17;25;-8;3;1;0;0;v England;Twickenham;15 Feb 2003
Ireland;won;36;6;+30;3;3;5;0;v Scotland;Murrayfield;16 Feb 2003
Scotland;lost;6;36;-30;0;0;2;0;v Ireland;Murrayfield;16 Feb 2003
Ireland;won;37;13;+24;5;3;2;0;v Italy;Rome;22 Feb 2003
Italy;lost;13;37;-24;1;1;2;0;v Ireland;Rome;22 Feb 2003
England;won;26;9;+17;2;2;2;2;v Wales;Millennium Stadium;22 Feb 2003
Wales;lost;9;26;-17;0;0;3;0;v England;Millennium Stadium;22 Feb 2003
