Team;Result;For;Aga;Diff;Tries;Conv;Pens;Drop;Opposition;Ground;Match.Date
France;won;12;10;+2;0;0;3;1;v England;Stade de France;20 Mar 2010
England;won;26;19;+7;2;2;4;0;v Wales;Millennium Stadium;4 Feb 2011
Wales;lost;19;26;-7;1;1;4;0;v England;Millennium Stadium;4 Feb 2011
Ireland;won;13;11;+2;1;1;1;1;v Italy;Rome;5 Feb 2011
Italy;lost;11;13;-2;1;0;2;0;v Ireland;Rome;5 Feb 2011
France;won;34;21;+13;4;4;1;1;v Scotland;Stade de France;5 Feb 2011
Scotland;lost;21;34;-13;3;3;0;0;v France;Stade de France;5 Feb 2011
England;won;59;13;+46;8;8;1;0;v Italy;Twickenham;12 Feb 2011
Italy;lost;13;59;-46;1;1;2;0;v England;Twickenham;12 Feb 2011
Scotland;lost;6;24;-18;0;0;2;0;v Wales;Murrayfield;12 Feb 2011
Wales;won;24;6;+18;2;1;4;0;v Scotland;Murrayfield;12 Feb 2011
France;won;25;22;+3;1;1;6;0;v Ireland;Lansdowne Road;13 Feb 2011
Ireland;lost;22;25;-3;3;2;1;0;v France;Lansdowne Road;13 Feb 2011
Italy;lost;16;24;-8;2;0;2;0;v Wales;Rome;26 Feb 2011
Wales;won;24;16;+8;2;1;3;1;v Italy;Rome;26 Feb 2011
England;won;17;9;+8;1;0;4;0;v France;Twickenham;26 Feb 2011
France;lost;9;17;-8;0;0;3;0;v England;Twickenham;26 Feb 2011
Ireland;won;21;18;+3;3;3;0;0;v Scotland;Murrayfield;27 Feb 2011
Scotland;lost;18;21;-3;0;0;5;1;v Ireland;Murrayfield;27 Feb 2011
France;lost;21;22;-1;2;1;3;0;v Italy;Rome;12 Mar 2011
Italy;won;22;21;+1;1;1;5;0;v France;Rome;12 Mar 2011
Ireland;lost;13;19;-6;1;1;2;0;v Wales;Millennium Stadium;12 Mar 2011
Wales;won;19;13;+6;1;1;4;0;v Ireland;Millennium Stadium;12 Mar 2011
England;won;22;16;+6;1;1;5;0;v Scotland;Twickenham;13 Mar 2011
Scotland;lost;16;22;-6;1;1;2;1;v England;Twickenham;13 Mar 2011
Italy;lost;8;21;-13;1;0;1;0;v Scotland;Murrayfield;19 Mar 2011
Scotland;won;21;8;+13;2;1;3;0;v Italy;Murrayfield;19 Mar 2011
England;lost;8;24;-16;1;0;1;0;v Ireland;Lansdowne Road;19 Mar 2011
Ireland;won;24;8;+16;2;1;4;0;v England;Lansdowne Road;19 Mar 2011
France;won;28;9;+19;3;2;3;0;v Wales;Stade de France;19 Mar 2011
Wales;lost;9;28;-19;0;0;3;0;v France;Stade de France;19 Mar 2011
France;won;30;12;+18;4;2;2;0;v Italy;Stade de France;4 Feb 2012
Italy;lost;12;30;-18;0;0;3;1;v France;Stade de France;4 Feb 2012
England;won;13;6;+7;1;1;2;0;v Scotland;Murrayfield;4 Feb 2012
Scotland;lost;6;13;-7;0;0;2;0;v England;Murrayfield;4 Feb 2012
Ireland;lost;21;23;-2;2;1;3;0;v Wales;Lansdowne Road;5 Feb 2012
Wales;won;23;21;+2;3;1;2;0;v Ireland;Lansdowne Road;5 Feb 2012
England;won;19;15;+4;1;1;4;0;v Italy;Rome;11 Feb 2012
Italy;lost;15;19;-4;2;1;1;0;v England;Rome;11 Feb 2012
Scotland;lost;13;27;-14;1;1;2;0;v Wales;Millennium Stadium;12 Feb 2012
Wales;won;27;13;+14;3;3;2;0;v Scotland;Millennium Stadium;12 Feb 2012
Ireland;won;42;10;+32;5;4;3;0;v Italy;Lansdowne Road;25 Feb 2012
Italy;lost;10;42;-32;1;1;1;0;v Ireland;Lansdowne Road;25 Feb 2012
England;lost;12;19;-7;0;0;4;0;v Wales;Twickenham;25 Feb 2012
Wales;won;19;12;+7;1;1;4;0;v England;Twickenham;25 Feb 2012
France;won;23;17;+6;2;2;2;1;v Scotland;Murrayfield;26 Feb 2012
Scotland;lost;17;23;-6;2;2;1;0;v France;Murrayfield;26 Feb 2012
France;draw;17;17;0;1;0;4;0;v Ireland;Stade de France;4 Mar 2012
Ireland;draw;17;17;0;2;2;1;0;v France;Stade de France;4 Mar 2012
Italy;lost;3;24;-21;0;0;1;0;v Wales;Millennium Stadium;10 Mar 2012
Wales;won;24;3;+21;2;1;4;0;v Italy;Millennium Stadium;10 Mar 2012
Ireland;won;32;14;+18;4;3;2;0;v Scotland;Lansdowne Road;10 Mar 2012
Scotland;lost;14;32;-18;1;0;3;0;v Ireland;Lansdowne Road;10 Mar 2012
England;won;24;22;+2;3;3;1;0;v France;Stade de France;11 Mar 2012
France;lost;22;24;-2;1;1;5;0;v England;Stade de France;11 Mar 2012
Italy;won;13;6;+7;1;1;1;1;v Scotland;Rome;17 Mar 2012
Scotland;lost;6;13;-7;0;0;2;0;v Italy;Rome;17 Mar 2012
France;lost;9;16;-7;0;0;3;0;v Wales;Millennium Stadium;17 Mar 2012
Wales;won;16;9;+7;1;1;3;0;v France;Millennium Stadium;17 Mar 2012
England;won;30;9;+21;2;1;6;0;v Ireland;Twickenham;17 Mar 2012
Ireland;lost;9;30;-21;0;0;3;0;v England;Twickenham;17 Mar 2012
